,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,total_number_of_reviews,reviewer_score,lat,lng
126911,27 avenue des Ternes 17th arr 75017 Paris France,25,6/30/2017,7.9,Mercure Paris Arc de Triomphe Etoile,145,5.8,48.8782679,2.294852
126932,27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,1243,8/3/2017,8.1,Park Grand Paddington Court,6608,6.7,51.5135555,-0.180002
128352,28 av Corentin Cariou 19th arr 75019 Paris France,151,7/21/2017,7.6,Forest Hill Paris la Villette,2740,7.5,48.8969854,2.3852745
128372,28 Basil Street Kensington and Chelsea London SW3 1AS United Kingdom,37,1/11/2017,9.1,The Levin Hotel,154,9.6,51.499857399999996,-0.161717
129142,28 Rue de l Arc de Triomphe 17th arr 75017 Paris France,32,6/5/2016,9.1,Hidden Hotel by Elegancia,303,10.0,48.8775326,2.293458
129225,277 Carrer de Proven a Eixample 08037 Barcelona Spain,47,8/2/2017,9.4,The One Barcelona GL,332,7.1,41.396144799999995,2.1631674
129310,28 30 Seymour Street Westminster Borough London W1H 7JB United Kingdom,45,7/17/2017,9.3,The Zetter Townhouse Marylebone,180,10.0,51.514839,-0.1586656
129337,29 31 Gower Street Camden London WC1E 6HG United Kingdom,457,4/22/2017,6.8,Bloomsbury Palace Hotel,2751,3.3,51.5207945,-0.1310845
129375,3 5 rue du Mont Thabor 1st arr 75001 Paris France,76,12/18/2016,8.2,Hotel Duminy Vendome,769,8.8,48.865472600000004,2.3292933999999996
129692,28 Ebury Street Westminster Borough London SW1W 0LU United Kingdom,60,7/20/2017,6.6,The Tophams Hotel,411,3.8,51.4957436,-0.1477528
129740,3 Boulevard Saint Michel 5th arr 75005 Paris France,120,8/12/2015,8.0,Royal Saint Michel,1193,10.0,48.8528364,2.3440803
129873,28 place des Vosges 3rd arr 75003 Paris France,74,8/1/2017,9.2,Le Pavillon de la Reine Spa,376,9.2,48.856272499999996,2.3660412
130071,28 rue Saint Roch 1st arr 75001 Paris France,13,7/30/2017,9.0,Le Roch Hotel Spa,118,7.9,48.8661991,2.3328826
130094,284 To 302 Waterloo Road Southwark London SE1 8RQ United Kingdom,312,8/2/2017,8.5,H10 London Waterloo,1114,7.1,51.498881700000005,-0.10628879999999999
130114,29 31 Draycott Place Kensington and Chelsea London SW3 2SH United Kingdom,76,11/17/2015,9.0,San Domenico House,317,10.0,51.491779799999996,-0.1616049
130495,3 Place du G n ral Koenig 17th arr 75017 Paris France,429,1/13/2017,7.1,Hyatt Regency Paris Etoile,3973,2.5,48.8802782,2.2843852000000004
130537,3 rue de Bourgogne 7th arr 75007 Paris France,75,1/16/2017,8.9,H tel Bourgogne Montana by MH,545,9.2,48.860192700000006,2.318423
131935,30 Jamestown Road Camden London NW1 7BY United Kingdom,418,4/5/2016,8.6,Holiday Inn London Camden Lock,1572,10.0,51.5404555,-0.1460833
131976,29 31 rue de Poitou 3rd arr 75003 Paris France,38,8/20/2016,9.1,Hotel du Petit Moulin,206,10.0,48.8615843,2.3620652
131990,29 Avenue De Tourville 7th arr 75007 Paris France,43,6/29/2017,9.0,H tel La Comtesse by Elegancia,363,8.3,48.853865,2.3072019
132043,29 31 rue des Ecoles 5th arr 75005 Paris France,90,7/21/2017,8.7,Hotel Atmospheres,654,9.6,48.848538700000006,2.3479852
132217,29 rue Caumartin 9th arr 75009 Paris France,23,4/17/2017,8.4,Hotel Astra Opera Astotel,250,8.3,48.8718321,2.3278866000000003
132342,29 Rue Jacob 6th arr 75006 Paris France,33,5/22/2017,9.1,Hotel La Villa Saint Germain Des Pr s,190,10.0,48.855348600000006,2.3340736
132361,30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,199,5/8/2016,8.3,Rathbone,776,10.0,51.518680100000005,-0.1354055
132382,29 rue Victor Mass 9th arr 75009 Paris France,74,8/8/2016,9.1,Grand Pigalle Hotel,399,10.0,48.880856,2.3375084999999998
132508,291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom,253,8/2/2017,8.2,Innkeeper s Lodge London Greenwich,1191,7.9,51.4801631,-0.0097201
132665,30 Rue La P rouse 16th arr 75016 Paris France,33,4/18/2017,8.7,Majestic Hotel Spa,232,10.0,48.870367200000004,2.2938867999999997
133163,33 Rue Cambon 1st arr 75001 Paris France,117,7/20/2017,8.7,Castille Paris Starhotels Collezione,808,9.6,48.86829779999999,2.3268027
133179,2e Hugo de Grootstraat 2 6 Westerpark 1052 LC Amsterdam Netherlands,62,8/3/2017,8.8,Morgan Mees,507,9.2,52.374371200000006,4.8746196
133472,3 avenue Mac Mahon 17th arr 75017 Paris France,117,8/2/2017,8.4,Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,774,10.0,48.87538370000001,2.2944651
133517,34 Lombard Road Battersea London SW11 3RF United Kingdom,472,12/11/2015,8.0,Rafayel Hotel Spa,1378,10.0,51.4703604,-0.1779869
133591,3 Berkeley Street Westminster Borough London W1J 8NE United Kingdom,390,4/26/2016,8.0,Holiday Inn London Mayfair,1894,8.8,51.507746000000004,-0.1422993
133631,34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,634,2/11/2016,7.9,Norfolk Towers Paddington,4065,9.2,51.5162883,-0.1721078
133853,34 rue de Moscou 8th arr 75008 Paris France,141,5/4/2016,8.9,Best Western Premier Kapital Op ra,1444,9.2,48.8814425,2.3235592
134006,35 Rue Jean Goujon 8th arr 75008 Paris France,22,7/31/2016,8.1,Melia Paris Tour Eiffel,241,10.0,48.8651994,2.3045076
134261,35 St James s Place Westminster Borough London SW1A 1NY United Kingdom,57,9/28/2015,8.6,Dukes Hotel,210,10.0,51.5055381,-0.1396885
134284,3 Bis Place Saint Sulpice 6th arr 75006 Paris France,39,8/1/2017,9.0,H tel Recamier,164,9.2,48.8503493,2.3344305
134328,3 Boulevard Montmartre 2nd arr 75002 Paris France,30,5/29/2017,7.8,TRYP Paris Op ra,414,8.3,48.871361900000004,2.3426375
134680,3 Devonshire Terrace Westminster Borough London W2 3DN United Kingdom,128,7/31/2017,7.9,Paddington Court Executive Rooms,681,8.3,51.5138357,-0.1797976
134784,36 rue Pierre Demours 17th arr 75017 Paris France,166,8/4/2016,8.1,Westside Arc de Triomphe Hotel,1738,10.0,48.8811741,2.2948337000000003
134960,3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,232,8/3/2017,8.5,Novotel London Paddington,1187,9.6,51.519032,-0.1825943
135321,37 rue Fran ois 1er 8th arr 75008 Paris France,120,3/6/2017,8.1,Hotel Claridge Paris,724,9.6,48.868424299999994,2.3036244
135703,372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,12/5/2016,8.1,Strand Palace Hotel,9568,8.8,51.5110993,-0.1208673
136227,3 Rue Abb De L Ep e 5th arr 75005 Paris France,61,8/2/2017,8.7,Relais Saint Jacques,519,10.0,48.8430523,2.3422519
136256,3 Rue Caulaincourt 18th arr 75018 Paris France,159,7/9/2017,8.4,Mercure Paris Montmartre Sacr Coeur,1652,9.6,48.8852794,2.3301021
136326,3 Rue Cambon 1st arr 75001 Paris France,48,8/18/2015,8.3,Hotel Cambon,323,8.3,48.866434999999996,2.3251076
136580,3 Rue Christine 6th arr 75006 Paris France,59,4/18/2017,9.1,Relais Christine,287,10.0,48.854245399999996,2.339956
136742,3 rue Clauzel 9th arr 75009 Paris France,27,12/13/2016,8.6,Les Matins de Paris Spa,413,10.0,48.878932,2.3394182
136826,3 Rue De Boulainvilliers 16th arr 75016 Paris France,15,7/7/2017,8.5,Hotel Square,148,7.1,48.851589000000004,2.2777274
136878,3 rue de Castiglione 1st arr 75001 Paris France,71,5/23/2017,8.1,The Westin Paris Vend me,380,8.3,48.865739399999995,2.3274415
136988,380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,438,11/18/2015,7.4,Hilton London Olympia,1786,10.0,51.496739899999994,-0.2064723
137073,3 Rue de Montalembert 7th arr 75007 Paris France,22,6/21/2016,8.5,Hotel Montalembert,126,8.3,48.8567042,2.3277805
137136,3 rue de Ponthieu 8th arr 75008 Paris France,70,7/28/2017,8.7,H tel Mathis Elys es,652,10.0,48.8700325,2.3112736000000003
137314,4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,107,9/8/2015,9.5,The Soho Hotel,385,10.0,51.5139805,-0.1337948
137331,3 rue du Pr aux Clercs 7th arr 75007 Paris France,32,6/22/2017,8.8,Le Saint Hotel Paris,163,7.1,48.856542100000006,2.3303504
137366,4 Rue De Valois 1st arr 75001 Paris France,119,1/5/2017,9.2,Grand H tel Du Palais Royal,704,8.3,48.863082899999995,2.3378592
137374,3 rue Lepic 18th arr 75018 Paris France,45,8/2/2017,8.3,Hotel Le Squara,776,7.1,48.884165,2.3328261
137395,3 Rue Pergolese 16th arr 75116 Paris France,126,11/6/2016,8.2,L Hotel Pergol se Paris,1281,10.0,48.875661799999996,2.2863467999999996
137602,4 Rue La Boetie 8th arr 75008 Paris France,81,12/6/2016,8.7,Hotel Park Lane Paris,824,7.5,48.874587899999995,2.3188142999999997
137692,3 Rue Rouget De Lisle 1st arr 75001 Paris France,26,7/4/2017,8.5,H tel Mayfair Paris,182,8.3,48.866136299999994,2.3260647999999997
137715,3 Rue Verniquet 17th arr 75017 Paris France,62,8/17/2016,8.0,Best Western Plus de Neuville Arc de Triomphe,516,9.2,48.8869128,2.3004034
137776,3 South Place City of London London EC2M 2AF United Kingdom,235,4/11/2017,9.3,South Place Hotel,769,10.0,51.5189182,-0.0866009
138141,3 Westbourne Terrace Lancaster Gate Westminster Borough London W2 3UL United Kingdom,47,7/16/2017,8.7,The Royal Park Hotel,331,9.6,51.5142054,-0.17660979999999998
138279,40 avenue de Friedland 8th arr 75008 Paris France,183,3/3/2016,8.5,Napoleon Paris,1144,8.8,48.8743885,2.2980915
138288,30 32 Boulevard Poissonni re 9th arr 75009 Paris France,57,8/1/2017,8.2,Holiday Inn Paris Op ra Grands Boulevards,581,8.3,48.8715469,2.3439622000000004
138398,30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,137,7/29/2017,8.6,Henley House Hotel,1179,9.6,51.4922348,-0.1914229
138478,40 trinity square City of London London EC3N 4DJ United Kingdom,832,12/17/2016,9.1,citizenM Tower of London,4672,10.0,51.510237,-0.0764428
138709,41 boulevard Saint Michel 5th arr 75005 Paris France,73,4/26/2016,9.1,Hotel le Lapin Blanc,619,10.0,48.849180100000005,2.3423357000000005
139277,419 437 Hackney Road London E2 8PP United Kingdom,688,8/25/2015,7.8,The RE London Shoreditch,2147,9.6,51.531979,-0.061598
139559,30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,8/3/2017,8.5,DoubleTree by Hilton London Westminster,3269,9.6,51.493235600000006,-0.1269082
140704,30 Portman Square Westminster Borough London W1H 7BH United Kingdom,276,3/25/2017,8.7,Hyatt Regency London The Churchill,883,7.5,51.5156471,-0.1572443
140800,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,1198,5/17/2017,8.5,Blakemore Hyde Park,6596,9.6,51.5129736,-0.1837431
142645,30 Rue de Bassano 16th arr 75016 Paris France,56,9/14/2016,8.3,Le Belmont Champs Elys es,328,9.6,48.8691984,2.2979052
143672,30 Rue Duret 16th arr 75016 Paris France,16,7/6/2017,8.4,Duret,167,10.0,48.87525529999999,2.286653
143710,30 Rue Jean Mermoz 8th arr 75008 Paris France,84,7/23/2017,8.7,H tel Elysees Mermoz,564,9.2,48.8715079,2.3122258999999996
143854,30 rue Pernety 14th arr 75014 Paris France,31,8/2/2017,9.0,BoB Hotel by Elegancia,271,10.0,48.833523299999996,2.3191194
143903,31 33 Argyle Street Camden London WC1H 8EP United Kingdom,219,8/2/2017,8.1,Comfort Inn Suites Kings Cross St Pancras,1116,8.8,51.5289499,-0.1232979
143928,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,524,10/9/2016,8.2,The Queens Gate Hotel,2516,10.0,51.4981225,-0.1799693
145377,31 35 Langham Street Westminster Borough London W1W 6BU United Kingdom,146,3/15/2016,7.9,Grange Langham Court Hotel,754,9.6,51.51890770000001,-0.1421957
145744,31 Great Cumberland Place Westminster Borough London W1H 7TA United Kingdom,365,4/8/2017,8.1,The Marble Arch London,1567,5.0,51.5151247,-0.1600656
145745,31 36 Leicester Square Westminster Borough London WC2H 7LH United Kingdom,378,7/28/2017,8.7,Radisson Blu Edwardian Hampshire,1543,7.1,51.509963,-0.129797
146444,31 Avenue George V 8th arr 75008 Paris France,110,7/15/2017,9.3,Four Seasons Hotel George V Paris,450,9.6,48.868751200000005,2.3001692000000005
146565,31 rue de la Folie M ricourt 11th arr 75011 Paris France,51,10/28/2016,9.3,H tel Fabric,344,9.6,48.8629329,2.3723822999999995
146841,31 Rue de Surene 8th arr 75008 Paris France,83,7/17/2017,8.8,H tel du Minist re,949,10.0,48.8712877,2.3191903
147432,31 St Thomas Street Southwark London SE1 9QU United Kingdom,732,8/2/2017,9.4,Shangri La Hotel at The Shard London,2200,10.0,51.5044972,-0.0855562
147924,32 rue des Ecoles 5th arr 75005 Paris France,52,1/5/2017,8.2,Hotel Les Bulles De Paris,712,6.3,48.849146999999995,2.3471935
147984,32 rue des Saints P res 7th arr 75007 Paris France,106,5/9/2016,9.0,Acad mie H tel Saint Germain,855,10.0,48.855263,2.3305901
148707,32 Rue Greuze 16th arr 75016 Paris France,37,1/13/2017,8.5,Plaza Tour Eiffel,266,10.0,48.8645647,2.2821827
149026,33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,8/3/2017,8.4,Park Grand London Kensington,4660,8.8,51.4938468,-0.19175820000000002
149598,33 avenue de Friedland 8th arr 75008 Paris France,146,3/27/2017,7.9,Royal Hotel Champs Elys es,983,10.0,48.874046299999996,2.300196
150261,33 Beaufort Gardens Kensington and Chelsea London SW3 1PP United Kingdom,124,6/11/2017,8.8,The Beaufort,510,7.1,51.4978466,-0.164156
150533,33 Boulevard du Montparnasse 6th arr 75006 Paris France,52,8/6/2016,8.5,H tel La Parizienne by Elegancia,672,9.6,48.8450894,2.3209503
151092,33 Albemarle Street Mayfair Westminster Borough London W1S 4BP United Kingdom,22,3/23/2017,9.1,Rocco Forte Brown s Hotel,127,9.6,51.5090558,-0.14216610000000002
151347,33 Avenue Du Docteur Arnold Netter 12th arr 75012 Paris France,16,6/2/2017,7.8,Best Western Allegro Nation,354,5.8,48.8430891,2.4049867000000003
151385,33 avenue George V 8th arr 75008 Paris France,42,5/1/2017,9.0,Prince de Galles a Luxury Collection hotel Paris,171,7.1,48.869143,2.3006526000000003
151757,33 place de la Madeleine 8th arr 75008 Paris France,74,6/29/2017,8.4,Madeleine Plaza,836,7.5,48.8710402,2.3248014
151895,33 Roland Gardens Kensington and Chelsea London SW7 3PF United Kingdom,40,7/23/2017,8.0,Blakes Hotel,190,7.5,51.48924470000001,-0.18031960000000002
152131,33 Rue Dauphine 6th arr 75006 Paris France,211,7/27/2017,9.4,H tel D Aubusson,941,10.0,48.854732899999995,2.3395277
152425,33 rue Marbeuf 8th arr 75008 Paris France,72,7/11/2017,8.5,Hotel Oscar,408,8.8,48.8694755,2.3046954
152509,33 rue Raymond Losserand 14th arr 75014 Paris France,120,7/31/2017,7.7,Best Western Bretagne Montparnasse,1540,7.9,48.835431400000004,2.321142
152520,335 337 High Street Stratford Newham London E15 2TF United Kingdom,293,4/18/2016,9.0,The Westbridge Hotel,1200,8.8,51.5373904,-0.0023366999999999997
153056,335 337 Old Street Hackney London EC1V 9LL United Kingdom,144,1/9/2017,8.9,Courthouse Hotel Shoreditch,477,8.8,51.5273442,-0.0796152
153433,34 37 Bedford Place Bloomsbury Camden London WC1B 5JR United Kingdom,171,6/23/2017,8.1,Grange Clarendon Hotel,823,10.0,51.519793299999996,-0.1241844
153545,336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,345,8/2/2017,9.2,ME London by Melia,1017,5.4,51.511879,-0.118552
154296,34 44 Barkston Gardens Kensington and Chelsea London SW5 0EW United Kingdom,147,1/15/2016,9.1,Hotel Indigo London Kensington,975,7.9,51.4920287,-0.1917801
154739,34 Avenue Porte d Asni res 17th arr 75017 Paris France,53,7/17/2017,7.9,Novotel Paris 17,750,4.2,48.8920485,2.3023791
157141,34 Rue de Buci 6th arr 75006 Paris France,50,7/16/2017,9.0,Artus Hotel by MH,261,9.6,48.8535639,2.3360168999999997
157312,34 rue Jean Mermoz 8th arr 75008 Paris France,14,5/23/2017,9.1,H tel Amastan Paris,102,10.0,48.8716831,2.3123758999999997
157476,34 Rue Fontaine 9th arr 75009 Paris France,58,6/29/2017,8.4,Timhotel Op ra Blanche Fontaine,466,5.0,48.8825781,2.3334805
157602,34 Rue Viala 15th arr 75015 Paris France,68,7/31/2017,8.8,H tel Gustave,625,9.6,48.850205200000005,2.289043
157767,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,73,7/19/2017,6.6,Best Western Maitrise Hotel Edgware Road,461,4.6,51.521148,-0.171346
157952,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,120,5/8/2017,8.4,Georgian House Hotel,918,10.0,51.490724,-0.143868
158315,35 Boulevard de la tour Maubourg 7th arr 75007 Paris France,48,7/5/2017,7.9,Best Western Tour Eiffel Invalides,364,7.5,48.8593152,2.3104179
158323,35 Rue Benjamin Franklin 16th arr 75016 Paris France,46,1/3/2016,8.0,Eiffel Trocad ro,435,7.5,48.8613055,2.2862823
158390,35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,252,8/3/2017,9.1,The Chesterfield Mayfair,1166,10.0,51.507689899999995,-0.14713579999999998
158824,35 Ixworth Place Kensington and Chelsea London SW3 3QX United Kingdom,235,4/10/2017,8.2,My Chelsea,1003,7.9,51.4919083,-0.1684398
159023,35 Rue Caumartin 9th arr 75009 Paris France,211,2/24/2017,8.9,Hotel Saint Petersbourg Opera,2412,10.0,48.872174,2.328075
159800,35 Rue De Berri 8th arr 75008 Paris France,52,7/15/2017,8.7,H tel Champs lys es Plaza,343,10.0,48.87370429999999,2.3061477000000004
159917,35 Rue La Bruy re 9th arr 75009 Paris France,43,7/31/2017,8.3,Timhotel Op ra Grands Magasins,466,7.1,48.879468200000005,2.3334957000000003
160032,350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,252,11/20/2016,8.1,Radisson Blu Edwardian Berkshire,1600,9.6,51.5146025,-0.1481978
160624,354 Queenstown Road Battersea London SW8 4AE United Kingdom,568,8/2/2017,8.6,Pestana Chelsea Bridge Hotel Spa,1686,9.6,51.4815995,-0.1481053
161334,36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,322,8/3/2017,8.4,Arbor Hyde Park,2140,10.0,51.512648799999994,-0.1803795
162160,36 38 Rue Du Moulin 92170 Paris France,24,7/9/2017,7.7,Mercure Paris Porte De Versailles Expo,462,7.9,48.8268251,2.2912033
162200,36 Great st Helens City of London London EC3A 6AP United Kingdom,264,8/2/2017,7.4,Great St Helen Hotel,1328,7.9,51.514958299999996,-0.08238689999999999
162720,36 rue de Saint Quentin 10th arr 75010 Paris France,11,8/3/2017,9.2,Hotel Whistler,115,10.0,48.879314,2.3560185000000002
162726,36 rue du Grenier Saint Lazare 3rd arr 75003 Paris France,28,1/9/2017,8.8,Hotel Georgette,307,9.2,48.8632723,2.352691
163091,36 rue Saint Ferdinand 17th arr 75017 Paris France,55,8/2/2017,8.3,Etoile Saint Ferdinand,560,9.2,48.8777895,2.2872498
163169,368 370 Green Lanes London N4 1DA United Kingdom,100,10/1/2016,7.5,United Lodge Hotel and Apartments,714,6.3,51.5743549,-0.0977567
163191,36 Rue Saint Marc 2nd arr 75002 Paris France,44,7/14/2017,9.3,H tel Saint Marc,377,9.6,48.870886299999995,2.3382127999999995
163201,37 Avenue De La Motte Picquet 7th arr 75007 Paris France,40,12/11/2015,8.8,H tel Le Walt,257,10.0,48.854716100000005,2.3066419999999996
163514,37 Eccleston Square Westminster Borough London SW1V 1PB United Kingdom,82,1/7/2017,8.5,Eccleston Square Hotel,369,5.4,51.4911924,-0.1449474
163553,37 Avenue Hoche 8th arr 75008 Paris France,6,6/10/2017,9.3,H tel Le Royal Monceau Raffles Paris,119,10.0,48.8756359,2.3004967
163716,37 Nottingham Place Westminster Borough London W1U 5LT United Kingdom,103,7/2/2017,8.2,Nottingham Place Hotel,580,10.0,51.522143,-0.153385
168432,38 rue de l Echiquier 10th arr 75010 Paris France,89,7/29/2017,9.1,H tel L Echiquier Op ra Paris MGallery by Sofitel,666,6.3,48.8719889,2.3492912999999995
168540,38 Rue Du Faubourg Saint Honore 8th arr 75008 Paris France,118,6/11/2017,7.2,H tel De Castiglione,1168,7.9,48.8691758,2.3205807000000003
168812,39 Coventry Street Westminster Borough London W1D 6BZ United Kingdom,326,1/30/2017,8.8,every hotel Piccadilly,1685,10.0,51.51014620000001,-0.13150610000000001
169664,39 40 Bedford Place Bloomsbury Camden London WC1B 5JT United Kingdom,18,6/29/2017,8.5,Grange Buckingham Hotel,128,7.9,51.5196124,-0.1239628
169713,39 40 Cleveland Square Westminster Borough London W2 6DA United Kingdom,153,8/2/2017,8.2,The Cleveland,909,9.2,51.513969200000005,-0.18282020000000002
169960,39 Avenue de l Op ra 2nd arr 75002 Paris France,80,2/24/2017,9.1,Edouard 7 Paris Op ra,798,10.0,48.8683133,2.3330851000000004
170005,39 40 Dorset Square Hotel Westminster Borough London NW1 6QN United Kingdom,61,7/13/2017,9.0,Dorset Square Hotel,263,7.9,51.52263610000001,-0.16028710000000002
170312,39 Avenue de Wagram 17th arr 75017 Paris France,36,6/1/2017,8.4,Renaissance Paris Arc de Triomphe Hotel,214,6.7,48.8772093,2.2968266
170360,39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,332,8/3/2017,8.7,Rubens At The Palace,1449,10.0,51.498147100000004,-0.14364920000000003
170798,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,1444,5/26/2016,7.8,Millennium Gloucester Hotel London,5726,6.3,51.493508299999995,-0.1834346
171661,4 Bryanston St Marble Arch Westminster Borough London W1H 7BY United Kingdom,255,2/20/2017,8.1,DoubleTree by Hilton Hotel London Marble Arch,1290,10.0,51.514573,-0.15666
171760,4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom,401,6/28/2016,8.1,Holiday Inn London West,1500,2.5,51.5210117,-0.2628618
174226,4 Boulevard Brune 14th arr 75014 Paris France,91,10/16/2016,8.8,Novotel Suites Paris Expo Porte de Versailles,1250,6.3,48.827388,2.305478
174312,4 Boulevard Raspail 7th arr 75007 Paris France,194,7/16/2017,8.4,K K H tel Cayr Saint Germain des Pr s,1431,7.5,48.8553117,2.3254627999999995
174812,4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,294,8/3/2017,8.7,Fielding Hotel,1271,10.0,51.5139315,-0.12198930000000001
174837,4 rue d Alger 1st arr 75001 Paris France,36,6/19/2017,9.6,H tel de La Tamise Esprit de France,166,10.0,48.8648656,2.3295756
174937,4 rue d Anjou 8th arr 75008 Paris France,97,4/28/2016,8.8,Buddha Bar Hotel Paris,538,9.6,48.8694695,2.3208564
175437,4 rue d Artois 8th arr 75008 Paris France,76,7/30/2016,8.9,Le A,348,8.8,48.8723844,2.3088662999999996
176826,4 rue Amsterdam 9th arr 75009 Paris France,14,7/31/2017,7.5,Le Grand H tel de Normandie,156,4.6,48.8759461,2.3270955
176831,4 rue Danton 6th arr 75006 Paris France,132,5/19/2017,8.3,Holiday Inn Paris Notre Dame,1174,9.2,48.852842700000004,2.3422256
176858,4 rue Cadet 9th arr 75009 Paris France,36,7/23/2017,8.7,Monsieur Cadet Hotel Spa Ex Meyerhold Spa ,334,10.0,48.8742767,2.3426276
177482,4 Rue de L Isly 8th arr 75008 Paris France,42,7/16/2017,8.1,Mercure Paris Opera Garnier,501,8.8,48.8749511,2.3259532000000003
177777,4 Rue des Petites Ecuries 10th arr 75010 Paris France,51,8/1/2017,7.8,Best Western Aulivia Op ra,570,9.2,48.8730552,2.3540112
177878,4 Rue Du Mont Thabor 1st arr 75001 Paris France,13,5/22/2017,7.9,Renaissance Paris Vendome Hotel,74,9.6,48.8654532,2.3295231
178044,4 rue Salomon de Caus 3rd arr 75003 Paris France,166,7/30/2017,8.2,Little Palace Hotel,1377,6.3,48.8675674,2.3539896000000002
178580,40 Liverpool Street City of London London EC2M 7QN United Kingdom,346,7/20/2017,9.0,Andaz London Liverpool Street,1283,6.3,51.5172825,-0.0812451
179099,40 Marsh Wall Tower Hamlets London E14 9TP United Kingdom,102,8/2/2017,9.0,Novotel London Canary Wharf,320,9.2,51.5011704,-0.0232607
179245,40 rue de Lille 7th arr 75007 Paris France,78,7/25/2017,8.9,H tel de Lille,533,9.6,48.8585626,2.3299138
179389,40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,228,7/31/2017,7.9,H tel Concorde Montparnasse,2515,5.8,48.8381079,2.318669
179752,40 rue Liancourt 14th arr 75014 Paris France,24,5/30/2017,8.1,Suites H tel Helzear Montparnasse,544,10.0,48.8346811,2.3255098
180162,40 Rue Rene Boulanger 10th arr 75010 Paris France,7,2/24/2017,8.5,Renaissance Paris Republique Hotel Spa,54,7.9,48.8687804,2.3610196
181853,407 Goldhawk Rd Chiswick London W6 0SA United Kingdom,256,7/24/2017,7.8,Chiswick Rooms,882,8.3,51.4937409,-0.244896
182195,41 43 Brook Street Westminster Borough London W1K 4HJ United Kingdom,71,7/19/2017,9.3,Claridge s,293,9.6,51.512503499999994,-0.14774379999999998
182339,41 51 Inverness Terrace Westminster Borough London W2 3JN United Kingdom,154,4/21/2017,8.0,La Suite West Hyde Park,768,8.8,51.5126758,-0.1867828
182547,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,12/7/2016,8.7,St James Court A Taj Hotel London,5394,10.0,51.4986732,-0.13768670000000002
183214,41 Avenue Marceau 16th arr 75016 Paris France,160,9/22/2016,8.2,Elys es R gencia,1100,4.6,48.8686434,2.2984054
184990,41 Avenue Pierre 1er de Serbie 8th arr 75008 Paris France,62,7/19/2017,8.5,H tel De Sers Champs Elys es Paris,347,8.3,48.8683593,2.3002117
185221,41 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,66,6/18/2017,9.6,41,244,10.0,51.498147100000004,-0.14364920000000003
185304,41 Rue Des Ecoles 5th arr 75005 Paris France,126,7/19/2017,8.1,Villa Panth on,1374,7.9,48.8488044,2.3469889
185326,41 Great Cumberland Place Westminster Borough London W1H 7LG United Kingdom,151,7/20/2017,8.1,Shaftesbury Suites London Marble Arch,800,6.7,51.515755,-0.1603335
185607,41 Queens Gate Gardens Kensington and Chelsea London SW7 5NB United Kingdom,202,3/16/2017,8.0,Grange Strathmore Hotel,984,7.9,51.4958184,-0.1813958
186070,41 rue de Clichy 9th arr 75009 Paris France,71,7/3/2017,9.1,H tel R de Paris Boutique Hotel,533,8.8,48.8799239,2.3288332
186456,41 rue Jean Baptiste Pigalle 9th arr 75009 Paris France,24,7/26/2017,8.4,Trinit Haussmann,319,9.6,48.8800565,2.3342353
187403,42 46 Chiswell Street City of London London EC1Y 4SB United Kingdom,417,8/25/2016,8.9,London City Suites,1744,10.0,51.5206309,-0.09153410000000001
188143,42 rue Croix des Petits Champs 1st arr 75001 Paris France,19,8/2/2017,9.0,H tel Crayon Rouge by Elegancia,300,10.0,48.864496700000004,2.3405415
188225,42 Rue Des Petites Ecuries 10th arr 75010 Paris France,32,7/31/2017,8.0,Mercure Paris Opera Grands Boulevards,359,7.5,48.874066799999994,2.3502172000000003
